id,account,email,display_name,role_label,app_role,role_aliases,branch_code,workforce_type,force_password_change,auth_user_id,status,metadata,created_at,updated_at,aliases,full_name,department,employee_code,phone_e164,is_active,last_login_at,employee_id,name,designation,role_id
c0a92c9b-7587-4db6-91b3-40db18601c02,optmgr_ygn_001,optmgr_ygn_001@britiumventures.com,Operation Manager (Head Office) 1,Operation Manager,operation_manager,"[""operation_manager"",""operations_manager"",""ops_manager""]",YGN,Operation Manager,FALSE,94214540-57ab-473f-b80b-780ae37532a1,active,"{""name"": ""Operation Manager (Head Office) 1"", ""role"": ""operation_manager"", ""email"": ""optmgr_ygn_001@britiumventures.com"", ""account"": ""optmgr_ygn_001"", ""full_name"": ""Operation Manager (Head Office) 1"", ""role_label"": ""Operation Manager"", ""branch_code"": ""YGN"", ""display_name"": ""Operation Manager (Head Office) 1"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""operation_manager"", ""operations_manager"", ""ops_manager""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:23.240286+00,2026-05-21 06:15:05.313556+00,[],Daw Aye Pwint Phyu,Operation,,,,,EMP001,,,
b2e5898c-8523-4831-a774-0e7de13ba445,sup_ygn_001,sup_ygn_001@britiumventures.com,Yangon Supervisor 1,Operation Supervisor,operations_supervisor,"[""operations_supervisor"",""supervisor""]",YGN,Operation Supervisor,FALSE,a8242ecb-42d6-4c3d-b5a5-4773ccdc35bc,active,"{""name"": ""Yangon Supervisor 1"", ""role"": ""operations_supervisor"", ""email"": ""sup_ygn_001@britiumventures.com"", ""account"": ""sup_ygn_001"", ""full_name"": ""Yangon Supervisor 1"", ""role_label"": ""Operation Supervisor"", ""branch_code"": ""YGN"", ""display_name"": ""Yangon Supervisor 1"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""operations_supervisor"", ""supervisor""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:24.77132+00,2026-05-21 06:15:05.313556+00,[],U Nay Soe,Operation,,,,,EMP002,,,
a781fe3f-5da8-40f3-b406-e002506ac1cd,warehouse_ygn_002,warehouse_ygn_002@britiumventures.com,Yangon Warehouse Controller 2,Warehouse Controller,warehouse,"[""warehouse"",""warehouse_supervisor"",""warehouse_controller""]",YGN,Warehouse Controller,FALSE,a075b53d-4fd5-46c2-acfb-b2632f9e626e,active,"{""name"": ""Yangon Warehouse Controller 2"", ""role"": ""warehouse"", ""email"": ""warehouse_ygn_002@britiumventures.com"", ""account"": ""warehouse_ygn_002"", ""full_name"": ""Yangon Warehouse Controller 2"", ""role_label"": ""Warehouse Controller"", ""branch_code"": ""YGN"", ""display_name"": ""Yangon Warehouse Controller 2"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""warehouse"", ""warehouse_supervisor"", ""warehouse_controller""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:30.9201+00,2026-05-21 06:15:05.313556+00,[],U Shine Wai Yan,Operation,,,,,EMP003,,,
cbc09df2-2c1e-4a0c-9b5b-c96563308bcb,warehouse_ygn_003,warehouse_ygn_003@britiumventures.com,Yangon Warehouse Controller 3,Warehouse Controller,warehouse,"[""warehouse"",""warehouse_supervisor"",""warehouse_controller""]",YGN,Warehouse Controller,FALSE,4b1218fd-7f3c-4fc3-a0cf-01cf2cafb36e,active,"{""name"": ""Yangon Warehouse Controller 3"", ""role"": ""warehouse"", ""email"": ""warehouse_ygn_003@britiumventures.com"", ""account"": ""warehouse_ygn_003"", ""full_name"": ""Yangon Warehouse Controller 3"", ""role_label"": ""Warehouse Controller"", ""branch_code"": ""YGN"", ""display_name"": ""Yangon Warehouse Controller 3"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""warehouse"", ""warehouse_supervisor"", ""warehouse_controller""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:31.433732+00,2026-05-21 06:15:05.313556+00,[],U Paing Zay Htut,Operation,,,,,EMP004,,,
174fda32-c514-489c-a570-43c11a99b240,bdmgr_ygn_001,bdmgr_ygn_001@britiumventures.com,Yangon Business Development Manager,Business Development Manager,business_development_manager,"[""business_development_manager"",""bd_manager""]",YGN,Business Development Manager,FALSE,f9995f91-1e8a-48ba-a349-8cfce03a5ee8,active,"{""name"": ""Yangon Business Development Manager"", ""role"": ""business_development_manager"", ""email"": ""bdmgr_ygn_001@britiumventures.com"", ""account"": ""bdmgr_ygn_001"", ""full_name"": ""Yangon Business Development Manager"", ""role_label"": ""Business Development Manager"", ""branch_code"": ""YGN"", ""display_name"": ""Yangon Business Development Manager"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""business_development_manager"", ""bd_manager""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:59.684311+00,2026-05-21 06:15:05.313556+00,[],U Myo Kyaw Kyaw,Business Development,,,,,BV00024,,,
1db6c9d9-3d7f-4730-a376-5fa4ed87a7d9,mkt_ygn_0002,mkt_ygn_0002@britiumventures.com,Yangon Marketing 2,Marketer,marketing_user,"[""marketing_user"",""marketer""]",YGN,Marketer,FALSE,62199e67-4776-4a86-8dce-e4d3f4769fe0,active,"{""name"": ""Yangon Marketing 2"", ""role"": ""marketing_user"", ""email"": ""mkt_ygn_0002@britiumventures.com"", ""account"": ""mkt_ygn_0002"", ""full_name"": ""Yangon Marketing 2"", ""role_label"": ""Marketer"", ""branch_code"": ""YGN"", ""display_name"": ""Yangon Marketing 2"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""marketing_user"", ""marketer""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:13.570776+00,2026-05-21 06:15:05.313556+00,[],U Kaung Htet Kyaw,Business Development,,,,,BV00046,,,
efbfd05a-f27f-43e5-a626-86131e60b46a,mkt_ygn_0001,mkt_ygn_0001@britiumventures.com,Yangon Marketing 1,Marketer,marketing_user,"[""marketing_user"",""marketer""]",YGN,Marketer,FALSE,09c7cae5-e17c-4c41-ac81-c619407826bf,active,"{""name"": ""Yangon Marketing 1"", ""role"": ""marketing_user"", ""email"": ""mkt_ygn_0001@britiumventures.com"", ""account"": ""mkt_ygn_0001"", ""full_name"": ""Yangon Marketing 1"", ""role_label"": ""Marketer"", ""branch_code"": ""YGN"", ""display_name"": ""Yangon Marketing 1"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""marketing_user"", ""marketer""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:13.060021+00,2026-05-21 06:15:05.313556+00,[],Daw Aye Chan Myat Noe Khin,Business Development,,,,,BV00034,,,
ed778b74-db6a-49c8-a380-6f94bdcc2395,cs_ygn_0001,cs_ygn_0001@britiumventures.com,Yangon Customer Service 1,Customer Service,customer_service,"[""customer_service"",""cs""]",YGN,Customer Service,FALSE,cafbc42d-0427-49f9-9f21-f3abc37be20a,active,"{""name"": ""Yangon Customer Service 1"", ""role"": ""customer_service"", ""email"": ""cs_ygn_0001@britiumventures.com"", ""account"": ""cs_ygn_0001"", ""full_name"": ""Yangon Customer Service 1"", ""role_label"": ""Customer Service"", ""branch_code"": ""YGN"", ""display_name"": ""Yangon Customer Service 1"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""customer_service"", ""cs""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:02.882358+00,2026-05-21 06:15:05.313556+00,[],Daw Hsu Thin Zar Aung,Business Development,,,,,BV00059,,,
21876f13-0c04-4dd4-a25c-2f9a87b50c4f,finance_ygn_001,finance_ygn_001@britiumventures.com,Yangon Finance 1,Finance Manager,finance,"[""finance"",""finance_user"",""finance_manager""]",YGN,Finance Manager,FALSE,e6afe7b1-0c85-4957-bbea-0c89c416bb1c,active,"{""name"": ""Yangon Finance 1"", ""role"": ""finance"", ""email"": ""finance_ygn_001@britiumventures.com"", ""account"": ""finance_ygn_001"", ""full_name"": ""Yangon Finance 1"", ""role_label"": ""Finance Manager"", ""branch_code"": ""YGN"", ""display_name"": ""Yangon Finance 1"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""finance"", ""finance_user"", ""finance_manager""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:51.352384+00,2026-05-21 06:15:05.313556+00,[],Daw Moe Moe Khaing,Finance,,,,,BV00008,,,
4c8f33d8-e979-4e35-b308-ebaa51d4646c,finance_ygn_002,finance_ygn_002@britiumventures.com,Yangon Finance 2,Finance User,finance,"[""finance"",""finance_user"",""finance_manager""]",YGN,Finance User,FALSE,05d854c1-b4f1-4602-ab10-b6368b2a7b4f,active,"{""name"": ""Yangon Finance 2"", ""role"": ""finance"", ""email"": ""finance_ygn_002@britiumventures.com"", ""account"": ""finance_ygn_002"", ""full_name"": ""Yangon Finance 2"", ""role_label"": ""Finance User"", ""branch_code"": ""YGN"", ""display_name"": ""Yangon Finance 2"", ""go_live_seed"": true, ""login_domain"": ""britiumventures.com"", ""role_aliases"": [""finance"", ""finance_user"", ""finance_manager""], ""workforce_type"": null, ""force_password_change"": false}",2026-05-16 00:08:52.082545+00,2026-05-21 06:15:05.313556+00,[],Daw Shwe Poe Eain,Finance,,,,,BV00033,,,
